os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 2 (soldier),AMD Ryzen 5 1600 Six-Core Processor,Radeon RX 470/480/570/570X/580/580X/590,12240268,5.15.36-1-lts,,
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
60.0114,16595,9.48553,51,45,64,1340,1750,1.71306,85,4.36263,4628038168
60.0049,16684,9.48553,51,45,64,1340,1750,1.71306,85,4.36263,4728095687
60.0558,16651,9.53895,68,45,64,1340,1750,1.71306,85,4.36443,4828154708
60.0099,16680,9.53895,68,45,64,1340,1750,1.71306,85,4.36443,4928212687
60.0083,16671,9.53895,68,45,64,1340,1750,1.71306,85,4.36443,5028270536
60.0067,16651,9.53895,68,45,64,1340,1750,1.71306,85,4.36443,5128328796
60.0049,16656,9.53895,68,45,64,1340,1750,1.71306,85,4.36443,5228387006
59.7465,16888,9.04685,50,45,64,1340,1750,1.71306,83,4.36732,5328445967
59.977,16701,9.04685,50,45,64,1340,1750,1.71306,83,4.36732,5428517361
60.0043,16675,9.04685,50,45,64,1340,1750,1.71306,83,4.36732,5528576533
59.9818,16737,9.04685,50,45,64,1340,1750,1.71306,83,4.36732,5628634412
60.0011,16663,9.04685,50,45,64,1340,1750,1.71306,83,4.36732,5728693062
39.9981,16640,10.0494,66,45,64,1340,1750,1.83843,72,4.39525,5828750621
53.3386,16640,10.0494,66,45,64,1340,1750,1.83843,72,4.39525,5928808350
56.0013,16623,10.0494,66,45,64,1340,1750,1.83843,72,4.39525,6028865968
57.1351,16754,10.0494,66,45,64,1340,1750,1.83843,72,4.39525,6128923617
57.7802,16702,10.0494,66,45,64,1340,1750,1.83843,72,4.39525,6228981947
59.9848,16691,10.4575,50,45,64,1340,1750,1.83843,76,4.4063,6329039475
60.0032,16683,10.4575,50,45,64,1340,1750,1.83843,76,4.4063,6429096773
59.9955,16675,10.4575,50,45,64,1340,1750,1.83843,76,4.4063,6529168989
59.9903,16673,10.4575,50,45,64,1340,1750,1.83843,76,4.4063,6629227129
59.9949,16687,10.4575,50,45,64,1340,1750,1.83843,76,4.4063,6729285389
60.0283,16671,8.62355,36,45,64,1340,1750,1.83843,82,4.40689,6829342987
60.005,16679,8.62355,36,45,64,1340,1750,1.83843,82,4.40689,6929400055
60.0015,16668,8.62355,36,45,64,1340,1750,1.83843,82,4.40689,7029457603
60,16673,8.62355,36,45,64,1340,1750,1.83843,82,4.40689,7129515061
59.9962,16702,8.62355,36,45,64,1340,1750,1.83843,82,4.40689,7229571628
60.0313,16686,9.09091,50,45,64,1340,1750,1.83843,88,4.40688,7329628666
60.014,16672,9.09091,50,45,64,1340,1750,1.83843,88,4.40688,7429685172
60.0068,16654,9.09091,50,45,64,1340,1750,1.83843,88,4.40688,7529744003
60.0025,16683,9.09091,50,45,64,1340,1750,1.83843,88,4.40688,7629800339
60.0025,16675,9.09091,50,45,64,1340,1750,1.83843,88,4.40688,7729858078
60.0007,16635,9.9839,58,45,65,1340,1750,1.83843,87,4.4119,7829914494
59.9865,16661,9.9839,58,45,65,1340,1750,1.83843,87,4.4119,7929971151
